,Reference Security,Bid Price,Ask Price,Mid Price,Cpn,Maturity,Common Eqty / Tot Assets,Debt/EBITDA,EBITDA,Earnings Assets / Int Bear Liab,Debt / Common Equity,BCLASS Level 3,TCE Ratio,Interest Coverage Ratio,Risk-Based Cap Ratio,Lev Ratio to TCE,Tier-1 Ratio,Tot Debt / Tot Capital,PD_1y,reprice,Error %,Issuer Name,Tot Cap (Local Crncy),Is Covered,Is Convertible,Guarantee Type,Guarantor Type,Collat Type,Amt Out,OC Nominal Amt,Total Assets,Total Deposits,Total Expenses to Average Earning Assets
10,AX543265 Corp,106.528,106.752,106.64,1.625,03/11/2026,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0104637258099448,106.64,0.0,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,500000000.0,,,,
11,AX543265 Corp,106.521,106.745,106.633,1.625,03/11/2026,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0104856954988676,106.633,0.0,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,500000000.0,,,,
12,AX543265 Corp,106.52,106.745,106.6325,1.625,03/11/2026,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.010487264834925,106.6325,0.0,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,500000000.0,,,,
13,AX543265 Corp,106.208,106.778,106.493,1.625,03/11/2026,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0109254880135543,106.493,1.3344402651068152e-14,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,500000000.0,,,,
14,AX543265 Corp,106.205,106.775,106.49,1.625,03/11/2026,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0109349204622133,106.49,0.0,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,500000000.0,,,,
15,AN646797 Corp,104.212,104.38,104.296,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0027306422860645,104.296,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,323888.0,,
16,AN646797 Corp,104.249,104.432,104.3405,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0025536961499586,104.3405,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,323888.0,,
17,AN646797 Corp,104.253,104.435,104.344,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0025397829755269,104.34400000000002,2.7238470281380822e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,323888.0,,
18,AN646797 Corp,104.214,104.376,104.295,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0027346196705864,104.29500000000002,1.3625633745819076e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,323888.0,,
19,AN646797 Corp,104.207,104.372,104.2895,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0027564961240928,104.2895,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,323888.0,,
20,AN646797 Corp,104.188,104.353,104.2705,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028320802495251,104.27049999999998,1.3628835303563331e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,323888.0,,
21,ZQ512620 Corp,100.968,100.968,100.968,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028522025122732,100.96799999999996,2.8149224933052063e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1000000000.0,,323888.0,,
22,ZQ512620 Corp,101.274,101.456,101.365,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0015487071217491,101.36499999999998,1.401948869452178e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1000000000.0,,323888.0,,
23,ZQ512620 Corp,101.21,101.427,101.3185,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0017010329331714,101.3185,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1000000000.0,,323888.0,,
24,ZQ512620 Corp,100.959,100.959,100.959,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028818316674237,100.959,1.4075867149240784e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1000000000.0,,323888.0,,
25,ZQ512620 Corp,100.963,100.963,100.963,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028686627205555,100.963,1.4075309484862776e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1000000000.0,,323888.0,,
26,ZQ512620 Corp,101.178,101.394,101.286,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0018075522684162,101.286,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1000000000.0,,323888.0,,
27,EK583835 Corp,109.282,109.477,109.3795,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0065463161504852,109.3795,1.2992246915740155e-14,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1400000000.0,,323888.0,,
28,EK583835 Corp,109.271,109.493,109.382,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0065399374664264,109.382,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1400000000.0,,323888.0,,
29,EK583835 Corp,109.274,109.497,109.3855,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006531007641771,109.3855,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1400000000.0,,323888.0,,
30,EK583835 Corp,109.237,109.515,109.376,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0065552466412229,109.376,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1400000000.0,,323888.0,,
31,EK583835 Corp,109.271,109.462,109.3665,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0065794885036128,109.3665,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1400000000.0,,323888.0,,
32,EK583835 Corp,109.257,109.445,109.351,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0066190471640515,109.351,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1400000000.0,,323888.0,,
33,EK583835 Corp,109.215,109.546,109.3805,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006543764653073,109.3805,0.0,Apple Inc,187617.0,False,False,N.A.,N.A.,SR UNSECURED,1400000000.0,,323888.0,,
34,BM056765 Corp,102.021,102.174,102.0975,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.2033707671589203,Aareal Bank AG,32720.0,True,False,N.A.,N.A.,PFANDBRIEFE,500000000.0,1860.3,45478.0,10592.0,2.73348
35,BM056765 Corp,102.043,102.143,102.093,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.1989719853467637,Aareal Bank AG,32720.0,True,False,N.A.,N.A.,PFANDBRIEFE,500000000.0,1860.3,45478.0,10592.0,2.73348
36,BM056765 Corp,101.996,102.097,102.0465,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.1534951899379956,Aareal Bank AG,32720.0,True,False,N.A.,N.A.,PFANDBRIEFE,500000000.0,1860.3,45478.0,10592.0,2.73348
37,BM056765 Corp,102.063,102.165,102.114,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.2194963168616176,Aareal Bank AG,32720.0,True,False,N.A.,N.A.,PFANDBRIEFE,500000000.0,1860.3,45478.0,10592.0,2.73348
38,BM056765 Corp,102.038,102.156,102.097,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.2028820327728301,Aareal Bank AG,32720.0,True,False,N.A.,N.A.,PFANDBRIEFE,500000000.0,1860.3,45478.0,10592.0,2.73348
39,BM056765 Corp,101.962,102.063,102.0125,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.1202170998652958,Aareal Bank AG,32720.0,True,False,N.A.,N.A.,PFANDBRIEFE,500000000.0,1860.3,45478.0,10592.0,2.73348
40,BM056765 Corp,102.019,102.137,102.078,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.1843065783029358,Aareal Bank AG,32720.0,True,False,N.A.,N.A.,PFANDBRIEFE,500000000.0,1860.3,45478.0,10592.0,2.73348
41,ZP324278 Corp,100.179,100.929,100.554,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0124741145952682,100.55399999840452,1.5866908134784884e-09,Aareal Bank AG,32720.0,False,False,N.A.,N.A.,SR UNSECURED,50000000.0,,45478.0,10592.0,2.73348
42,ZP324278 Corp,100.188,100.938,100.563,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0124489578547684,100.56299999840324,1.5878064960818715e-09,Aareal Bank AG,32720.0,False,False,N.A.,N.A.,SR UNSECURED,50000000.0,,45478.0,10592.0,2.73348
43,ZP324278 Corp,100.19,100.94,100.565,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0124433678974942,100.56499999840302,1.588001014597778e-09,Aareal Bank AG,32720.0,False,False,N.A.,N.A.,SR UNSECURED,50000000.0,,45478.0,10592.0,2.73348
44,ZP324278 Corp,100.174,100.924,100.549,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0124880919290387,100.5489999984051,1.5861902510634976e-09,Aareal Bank AG,32720.0,False,False,N.A.,N.A.,SR UNSECURED,50000000.0,,45478.0,10592.0,2.73348
45,ZP324278 Corp,100.185,100.935,100.56,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0124573430835049,100.55999999840373,1.5874016500635699e-09,Aareal Bank AG,32720.0,False,False,N.A.,N.A.,SR UNSECURED,50000000.0,,45478.0,10592.0,2.73348
46,ZP324278 Corp,100.15,100.9,100.525,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0125551967265697,100.52499999840832,1.5833740685164884e-09,Aareal Bank AG,32720.0,False,False,N.A.,N.A.,SR UNSECURED,50000000.0,,45478.0,10592.0,2.73348
47,ZP324278 Corp,100.161,100.911,100.536,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0125244375672059,100.53599999840688,1.5846284701026851e-09,Aareal Bank AG,32720.0,False,False,N.A.,N.A.,SR UNSECURED,50000000.0,,45478.0,10592.0,2.73348
48,AZ495660 Corp,102.257,103.007,102.632,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0054061684928128,102.63200000000003,2.769283403851041e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,503200000.0,,46557.5,,
49,AZ495660 Corp,102.369,102.741,102.555,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0057181356309369,102.555,1.3856813139488084e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,503200000.0,,46557.5,,
50,AZ495660 Corp,102.372,102.745,102.5585,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0057039490051391,102.5585,1.3856340249908104e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,503200000.0,,46557.5,,
51,AZ495660 Corp,102.255,103.005,102.63,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0054142678635773,102.63,1.3846686851020176e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,503200000.0,,46557.5,,
52,AZ495660 Corp,102.396,102.53,102.463,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0060912567782796,102.463,1.38692549654041e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,503200000.0,,46557.5,,
53,LW076488 Corp,105.659,105.875,105.767,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.009354958292015,105.76700000000002,1.3436000562748306e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,894900000.0,,46557.5,,
54,LW076488 Corp,105.501,106.012,105.7565,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0093881546011607,105.75649999999996,2.6874669103463152e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,894900000.0,,46557.5,,
55,LW076488 Corp,105.67,105.928,105.799,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0092538153523967,105.799,0.0,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,894900000.0,,46557.5,,
56,LW076488 Corp,105.651,105.866,105.7585,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0093818311599751,105.75849999999998,1.3437080438169986e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,894900000.0,,46557.5,,
57,LW076488 Corp,105.655,105.912,105.7835,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0093028014319451,105.7835,1.3433904829394002e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,894900000.0,,46557.5,,
58,LW076488 Corp,105.619,105.835,105.727,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.009481443659742,105.727,1.3441083843485583e-14,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,894900000.0,,46557.5,,
59,LW076488 Corp,105.614,105.833,105.7235,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.0583853,,,,77.3599,0.0094925141285863,105.7235,0.0,Abertis Infraestructuras SA,38046.8,False,False,N.A.,N.A.,SR UNSECURED,894900000.0,,46557.5,,
60,EK148564 Corp,112.518,113.449,112.9835,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.007241070472094,112.9835,0.0,Anheuser-Busch InBev SA/NV,176915.0,False,False,Multiple,Subsidiaries,COMPANY GUARNT,1000000000.0,,226410.0,,
61,EK148564 Corp,113.05,113.3,113.175,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.0066762982054512,113.175,0.0,Anheuser-Busch InBev SA/NV,176915.0,False,False,Multiple,Subsidiaries,COMPANY GUARNT,1000000000.0,,226410.0,,
62,EK148564 Corp,113.089,113.383,113.236,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.0064966548948802,113.236,0.0,Anheuser-Busch InBev SA/NV,176915.0,False,False,Multiple,Subsidiaries,COMPANY GUARNT,1000000000.0,,226410.0,,
63,EK148564 Corp,112.967,113.469,113.218,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.0065496514552576,113.218,1.2551762719004048e-14,Anheuser-Busch InBev SA/NV,176915.0,False,False,Multiple,Subsidiaries,COMPANY GUARNT,1000000000.0,,226410.0,,
64,EK148564 Corp,112.515,113.454,112.9845,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.0072381180714062,112.9845,0.0,Anheuser-Busch InBev SA/NV,176915.0,False,False,Multiple,Subsidiaries,COMPANY GUARNT,1000000000.0,,226410.0,,
65,EK148564 Corp,112.523,113.441,112.982,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.0072454991361863,112.982,0.0,Anheuser-Busch InBev SA/NV,176915.0,False,False,Multiple,Subsidiaries,COMPANY GUARNT,1000000000.0,,226410.0,,
66,EK148564 Corp,113.06,113.353,113.2065,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.0065835160395034,113.20649999999996,3.765911334208372e-14,Anheuser-Busch InBev SA/NV,176915.0,False,False,Multiple,Subsidiaries,COMPANY GUARNT,1000000000.0,,226410.0,,
67,EK850977 Corp,104.695,104.961,104.828,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0026053594659606,104.828,0.0,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1450000000.0,,395623.0,238570.0,
68,EK850977 Corp,104.766,104.871,104.8185,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0026429447918401,104.81850000000004,4.0672747793191104e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1450000000.0,,395623.0,238570.0,
69,EK850977 Corp,104.747,104.918,104.8325,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0025875573501254,104.8325,0.0,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1450000000.0,,395623.0,238570.0,
70,EK850977 Corp,104.763,104.912,104.8375,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0025677783217075,104.83750000000003,2.7110251036512704e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1450000000.0,,395623.0,238570.0,
71,EK850977 Corp,104.737,104.909,104.823,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0026251406950995,104.82299999999996,2.7114001154712243e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1450000000.0,,395623.0,238570.0,
72,EK850977 Corp,104.709,104.861,104.785,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0027755159078008,104.785,0.0,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1450000000.0,,395623.0,238570.0,
73,AS180185 Corp,104.125,104.616,104.3705,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0024344589887427,104.3705,1.3615777173820193e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,750000000.0,,395623.0,238570.0,
74,AS180185 Corp,104.314,104.466,104.39,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0023569774314821,104.39,0.0,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,750000000.0,,395623.0,238570.0,
75,AS180185 Corp,104.285,104.453,104.369,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0024404198457883,104.369,1.3615972860908891e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,750000000.0,,395623.0,238570.0,
76,AS180185 Corp,104.301,104.492,104.3965,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0023311542001729,104.3965,0.0,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,750000000.0,,395623.0,238570.0,
77,AS180185 Corp,104.293,104.476,104.3845,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002378829402116,104.38450000000005,2.7227902064390797e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,750000000.0,,395623.0,238570.0,
78,AS180185 Corp,104.255,104.41,104.3325,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0025854998469904,104.33249999999998,1.3620736314381431e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,750000000.0,,395623.0,238570.0,
79,BJ633155 Corp,105.062,105.208,105.135,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0053348352397811,105.135,1.3516768645267516e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,395623.0,238570.0,
80,BJ633155 Corp,104.992,105.227,105.1095,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0054355478978307,105.1095,0.0,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,395623.0,238570.0,
81,BJ633155 Corp,105.054,105.243,105.1485,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0052815289215765,105.14849999999998,1.3515033229387011e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,395623.0,238570.0,
82,BJ633155 Corp,105.046,105.203,105.1245,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0053763015230473,105.1245,0.0,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,395623.0,238570.0,
83,BJ633155 Corp,105.046,105.231,105.1385,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0053210142758742,105.1385,1.3516318679838502e-14,ABN AMRO Bank NV,144652.0,False,False,N.A.,N.A.,SR UNSECURED,1250000000.0,,395623.0,238570.0,
