,Unnamed: 0,Reference Security,Ticker_x,Bid Price,Ask Price,Mid Price,Issuer Name,Cpn,Maturity,Ticker_y,Average Equity / Average Assets,Common Eqty / Tot Assets,Debt / Common Equity,Debt/Assets,Debt/EBITDA,EBITDA,Int Exp / Avg Int Bear Liab,Tot Debt / Tot Capital,Tot Loans to Tot Assets,Tot Risk-Based Cap,Earnings Assets / Int Bear Liab,Total Expenses to Average Earning Assets,maturity_years,PD_1y
103,103,JK729950 Corp,ACAFP,106.706,106.985,106.8455,Credit Agricole SA/London,1.25,04/14/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,4.698630136986301,0.0073
104,104,BH787467 Corp,ACAFP,103.697,103.84899999999999,103.773,Credit Agricole SA,1.0,04/22/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,4.720547945205479,0.0131
105,105,LW286371 Corp,ACAFP,108.32700000000001,111.45200000000001,109.8895,Credit Agricole SA,2.8,07/21/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,4.967123287671233,0.021
106,106,AL688676 Corp,ACAFP,109.073,109.86,109.4665,Credit Agricole SA/London,1.875,12/20/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,5.383561643835616,0.0131
107,107,EK795322 Corp,ACAFP,110.89200000000001,112.948,111.92,Credit Agricole SA,2.625,03/17/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,5.6219178082191785,0.0178
108,108,AN346558 Corp,ACAFP,108.133,108.49799999999999,108.3155,Credit Agricole SA/London,1.375,05/03/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,5.750684931506849,0.0083
109,109,BM882289 Corp,ACAFP,99.44200000000001,99.67200000000001,99.557,Credit Agricole SA,0.125,12/09/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,6.353424657534247,0.0115
110,110,BP067515 Corp,ACAFP,100.208,100.439,100.3235,Credit Agricole SA,0.375,04/20/2028,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,6.717808219178083,0.0134
111,111,AX394408 Corp,ACAFP,110.20200000000001,110.68799999999999,110.445,Credit Agricole SA/London,1.75,03/05/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,7.5917808219178085,0.0137
112,112,AX751474 Corp,ACAFP,109.154,110.103,109.6285,Credit Agricole SA,2.0,03/25/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,7.646575342465753,0.019
113,113,ZS751587 Corp,ACAFP,107.001,107.48899999999999,107.245,Credit Agricole SA/London,1.0,07/03/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,7.920547945205479,0.0083
114,114,ZP155076 Corp,ACAFP,99.01100000000001,100.69200000000001,99.8515,Credit Agricole SA,1.25,12/27/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,8.405479452054795,0.0272
115,115,BJ757737 Corp,ACAFP,104.25299999999999,104.554,104.4035,Credit Agricole SA,1.625,06/05/2030,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,8.843835616438357,0.0239
116,116,BK414817 Corp,ACAFP,106.885,107.17,107.0275,Credit Agricole Assurances SA,2.0,07/17/2030,ACAFP,3.85342,3.8168,48.288000000000004,1.84305,,,,32.4357,,,,,8.95890410958904,0.0246
117,117,BK667036 Corp,ACAFP,106.825,108.88600000000001,107.8555,Credit Agricole SA,2.0,07/28/2030,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,8.98904109589041,0.023
118,118,ZP317119 Corp,ACAFP,103.102,103.741,103.4215,Credit Agricole SA,0.875,01/14/2032,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,10.454794520547946,0.0138
119,119,AQ804746 Corp,ACAFP,107.787,108.70299999999999,108.245,Credit Agricole Assurances SA,2.625,01/29/2048,ACAFP,3.85342,3.8168,48.288000000000004,1.84305,,,,32.4357,,,,,26.506849315068493,0.0351
120,120,QZ515948 Corp,ACAFP,122.63799999999999,123.458,123.04799999999999,Credit Agricole Assurances SA,4.75,09/27/2048,ACAFP,3.85342,3.8168,48.288000000000004,1.84305,,,,32.4357,,,,,27.16986301369863,0.0506
121,121,AQ928035 Corp,ACEIM,100.285,100.439,100.36200000000001,ACEA SpA,0.0,02/08/2023,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,1.5178082191780822,0.0094
122,122,BN672515 Corp,ACEIM,100.60700000000001,100.79799999999999,100.7025,ACEA SpA,0.0,09/28/2025,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,4.156164383561644,0.0073
123,123,ZP763376 Corp,ACEIM,100.929,101.556,101.2425,ACEA SpA,0.5,04/06/2029,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,7.67945205479452,0.0128
124,124,BN671851 Corp,ACEIM,99.07600000000001,99.57600000000001,99.32600000000001,ACEA SpA,0.25,07/28/2030,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,8.98904109589041,0.0115
127,127,UV771361 Corp,ACFP,106.78,107.116,106.948,Accor SA,3.625,09/17/2023,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,,2.1232876712328768,0.0306
128,128,AM205323 Corp,ACFP,104.26100000000001,105.23200000000001,104.7465,Accor SA,2.5,01/25/2024,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,,2.4794520547945207,0.025
