,Reference Security,Ticker_x,Bid Price,Ask Price,Mid Price,Issuer Name,Cpn,Maturity,Ticker_y,Average Equity / Average Assets,Common Eqty / Tot Assets,Debt / Common Equity,Debt/Assets,Debt/EBITDA,EBITDA,Int Exp / Avg Int Bear Liab,Tot Debt / Tot Capital,Tot Loans to Tot Assets,Tot Risk-Based Cap,Earnings Assets / Int Bear Liab,Total Expenses to Average Earning Assets,PD_1y
44,EJ370004 Corp,ABIBB,109.728,109.853,109.7905,Anheuser-Busch InBev SA/NV,2.875,09/25/2024,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.17733313143253326
45,EK148564 Corp,ABIBB,113.14,113.47399999999999,113.307,Anheuser-Busch InBev SA/NV,2.7,03/31/2026,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.11884181201457977
46,AQ688742 Corp,ABIBB,106.45700000000001,106.736,106.5965,Anheuser-Busch InBev SA/NV,1.15,01/22/2027,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.11245770007371902
47,AX890181 Corp,ABIBB,106.62100000000001,106.916,106.7685,Anheuser-Busch InBev SA/NV,1.125,07/01/2027,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.1044468879699707
48,BH449703 Corp,ABIBB,112.914,113.25299999999999,113.0835,Anheuser-Busch InBev SA/NV,2.125,12/02/2027,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.08960175514221191
49,JK482752 Corp,ABIBB,112.711,113.009,112.86,Anheuser-Busch InBev SA/NV,2.0,03/17/2028,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.08612608164548874
50,EK855926 Corp,ABIBB,109.90100000000001,110.46600000000001,110.1835,Anheuser-Busch InBev SA/NV,1.5,04/18/2030,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.06837676465511322
51,AX890210 Corp,ABIBB,111.288,111.76799999999999,111.528,Anheuser-Busch InBev SA/NV,1.65,03/28/2031,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.060364365577697754
52,BH449704 Corp,ABIBB,123.76100000000001,124.31,124.0355,Anheuser-Busch InBev SA/NV,2.875,04/02/2032,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.04479290544986725
53,EJ523596 Corp,ABIBB,129.53,130.697,130.1135,Anheuser-Busch InBev SA/NV,3.25,01/24/2033,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.03725945204496384
54,JK482849 Corp,ABIBB,124.20299999999999,124.94200000000001,124.5725,Anheuser-Busch InBev SA/NV,2.75,03/17/2036,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.030730098485946655
55,BH449705 Corp,ABIBB,140.127,140.94299999999998,140.53500000000003,Anheuser-Busch InBev SA/NV,3.7,04/02/2040,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.01646847277879715
58,AV875566 Corp,ABNANV,100.245,100.277,100.26100000000001,ABN AMRO Bank NV,0.25,12/03/2021,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.8634044304490089
59,AV875550 Corp,ABNANV,100.176,100.204,100.19,ABN AMRO Bank NV,0.0,12/03/2021,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.8636825084686279
60,EI999618 Corp,ABNANV,102.854,102.936,102.895,ABN AMRO Bank NV,5.0,02/09/2022,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.7135014459490776
61,LW092647 Corp,ABNANV,100.88600000000001,100.936,100.911,ABN AMRO Bank NV,0.625,05/31/2022,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.5604402795433998
62,EJ270107 Corp,ABNANV,106.69200000000001,106.806,106.749,ABN AMRO Bank NV,7.125,07/06/2022,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.49132566899061203
63,AT519156 Corp,ABNANV,101.76100000000001,101.859,101.81,ABN AMRO Bank NV,0.5,07/17/2023,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.29474959522485733
64,EJ689959 Corp,ABNANV,106.697,106.819,106.758,ABN AMRO Bank NV,2.5,11/29/2023,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.2399694249033928
65,AW568319 Corp,ABNANV,102.986,103.18799999999999,103.087,ABN AMRO Bank NV,0.875,01/15/2024,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.24010659009218216
66,EK850977 Corp,ABNANV,104.811,104.98899999999999,104.9,ABN AMRO Bank NV,1.0,04/16/2025,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.16389695554971695
67,AS180185 Corp,ABNANV,104.368,104.541,104.4545,ABN AMRO Bank NV,0.875,04/22/2025,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.16421250253915787
68,BJ633155 Corp,ABNANV,105.079,105.296,105.1875,ABN AMRO Bank NV,1.25,05/28/2025,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.15889130532741547
69,ZS090332 Corp,ABNANV,103.354,103.54700000000001,103.4505,ABN AMRO Bank NV,0.5,04/15/2026,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.13487734645605087
70,ZP353553 Corp,ABNANV,102.542,102.803,102.6725,ABN AMRO Bank NV,0.6,01/15/2027,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.11893641203641891
71,JV591523 Corp,ABNANV,104.603,104.603,104.603,ABN AMRO Bank NV,2.875,01/18/2028,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.0988982766866684
72,JK712590 Corp,ABNANV,110.43,110.68,110.555,ABN AMRO Bank NV,1.0,04/13/2031,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.0609341561794281
73,BP790964 Corp,ABNANV,102.999,103.37,103.1845,ABN AMRO Bank NV,1.0,06/02/2033,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.05470331758260727
74,AU539765 Corp,ABT,102.618,102.72399999999999,102.671,Abbott Ireland Financing DAC,0.875,09/27/2023,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,,0.2694615498185158
75,AU539766 Corp,ABT,108.125,108.404,108.2645,Abbott Ireland Financing DAC,1.5,09/27/2026,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,,0.11624015867710114
76,ZQ616019 Corp,ABT,102.51299999999999,102.839,102.676,Abbott Ireland Financing DAC,0.375,11/19/2027,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,,0.10400617867708206
77,BQ314932 Corp,ACACB,101.656,101.792,101.72399999999999,Credit Agricole Home Loan SFH SA,0.01,04/12/2028,ACACB,1.7699,1.6577099999999998,5926.81,98.2495,,,,98.3407,,,,,0.09941808879375458
85,AW599611 Corp,ACAFP,100.229,100.26700000000001,100.248,Credit Agricole SA/London,0.002,01/17/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.7704779952764511
86,ZP822149 Corp,ACAFP,100.07,100.27,100.17,Unifergie - Union Pour le Financement des Economies D'Energie SA,0.0,02/07/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.7311873137950897
87,AN217790 Corp,ACAFP,100.531,100.561,100.546,Credit Agricole SA/London,0.252,04/20/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.6145103648304939
88,EI542114 Corp,ACAFP,105.61399999999999,107.35600000000001,106.485,Credit Agricole SA,4.25,02/04/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.343242384493351
89,AR482677 Corp,ACAFP,100.75399999999999,100.8,100.777,Credit Agricole SA/London,0.057999999999999996,03/06/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.351885087788105
90,EJ751625 Corp,ACAFP,107.089,107.135,107.11200000000001,Credit Agricole SA/London,3.125,07/17/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.2762410491704941
91,AV923058 Corp,ACAFP,102.445,102.791,102.618,Credit Agricole SA/London,0.75,12/05/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.2512832209467888
92,EK021817 Corp,ACAFP,106.743,108.772,107.7575,Credit Agricole SA,3.03,02/21/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.21854222565889359
93,AZ186551 Corp,ACAFP,101.93299999999999,102.169,102.051,Credit Agricole SA/London,0.5,06/24/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.21114423871040344
94,EK623532 Corp,ACAFP,106.59899999999999,109.711,108.155,Credit Agricole SA,3.0,12/22/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.1698426753282547
95,EK699272 Corp,ACAFP,106.796,109.822,108.309,Credit Agricole SA,3.0,02/02/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.1645549088716507
96,AR621181 Corp,ACAFP,105.133,105.35700000000001,105.245,Credit Agricole SA/London,1.375,03/13/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.16688460111618042
97,EK827377 Corp,ACAFP,108.038,109.288,108.663,Credit Agricole SA,2.7,04/14/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.15608914196491241
98,EK946829 Corp,ACAFP,108.26799999999999,109.147,108.7075,Credit Agricole SA,2.7,07/15/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.14706295728683472
99,UV809282 Corp,ACAFP,106.947,110.205,108.57600000000001,Credit Agricole SA,2.8,10/16/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.13926946371793747
100,ZQ099083 Corp,ACAFP,101.835,101.963,101.899,Credit Agricole SA,0.375,10/21/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.15176556259393692
101,QJ780660 Corp,ACAFP,107.654,109.447,108.5505,Credit Agricole SA,3.0,12/21/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.1341177225112915
102,JV523322 Corp,ACAFP,109.539,110.385,109.962,Credit Agricole SA,2.8,01/27/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.12885680049657822
103,JK729950 Corp,ACAFP,106.706,106.985,106.8455,Credit Agricole SA/London,1.25,04/14/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.1289561465382576
104,BH787467 Corp,ACAFP,103.697,103.84899999999999,103.773,Credit Agricole SA,1.0,04/22/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.13380710780620575
105,LW286371 Corp,ACAFP,108.32700000000001,111.45200000000001,109.8895,Credit Agricole SA,2.8,07/21/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.11759613454341888
106,AL688676 Corp,ACAFP,109.073,109.86,109.4665,Credit Agricole SA/London,1.875,12/20/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.10980073362588882
107,EK795322 Corp,ACAFP,110.89200000000001,112.948,111.92,Credit Agricole SA,2.625,03/17/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.10191810131072998
108,AN346558 Corp,ACAFP,108.133,108.49799999999999,108.3155,Credit Agricole SA/London,1.375,05/03/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.10492681711912155
109,BM882289 Corp,ACAFP,99.44200000000001,99.67200000000001,99.557,Credit Agricole SA,0.125,12/09/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.10752994567155838
110,BP067515 Corp,ACAFP,100.208,100.439,100.3235,Credit Agricole SA,0.375,04/20/2028,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.10098006576299667
111,AX394408 Corp,ACAFP,110.20200000000001,110.68799999999999,110.445,Credit Agricole SA/London,1.75,03/05/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.07811693102121353
112,AX751474 Corp,ACAFP,109.154,110.103,109.6285,Credit Agricole SA,2.0,03/25/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.07846929132938385
113,ZS751587 Corp,ACAFP,107.001,107.48899999999999,107.245,Credit Agricole SA/London,1.0,07/03/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.07838921248912811
114,ZP155076 Corp,ACAFP,99.01100000000001,100.69200000000001,99.8515,Credit Agricole SA,1.25,12/27/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.08176787942647934
115,BJ757737 Corp,ACAFP,104.25299999999999,104.554,104.4035,Credit Agricole SA,1.625,06/05/2030,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.07304951548576355
116,BK414817 Corp,ACAFP,106.885,107.17,107.0275,Credit Agricole Assurances SA,2.0,07/17/2030,ACAFP,3.85342,3.8168,48.288000000000004,1.84305,,,,32.4357,,,,,0.06952246278524399
117,BK667036 Corp,ACAFP,106.825,108.88600000000001,107.8555,Credit Agricole SA,2.0,07/28/2030,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.06848610192537308
118,ZP317119 Corp,ACAFP,103.102,103.741,103.4215,Credit Agricole SA,0.875,01/14/2032,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.062310002744197845
119,AQ804746 Corp,ACAFP,107.787,108.70299999999999,108.245,Credit Agricole Assurances SA,2.625,01/29/2048,ACAFP,3.85342,3.8168,48.288000000000004,1.84305,,,,32.4357,,,,,0.02011457085609436
120,QZ515948 Corp,ACAFP,122.63799999999999,123.458,123.04799999999999,Credit Agricole Assurances SA,4.75,09/27/2048,ACAFP,3.85342,3.8168,48.288000000000004,1.84305,,,,32.4357,,,,,0.015045329928398132
121,AQ928035 Corp,ACEIM,100.285,100.439,100.36200000000001,ACEA SpA,0.0,02/08/2023,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,0.3663538917899132
122,BN672515 Corp,ACEIM,100.60700000000001,100.79799999999999,100.7025,ACEA SpA,0.0,09/28/2025,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,0.1562369391322136
123,ZP763376 Corp,ACEIM,100.929,101.556,101.2425,ACEA SpA,0.5,04/06/2029,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,0.08770236372947693
124,BN671851 Corp,ACEIM,99.07600000000001,99.57600000000001,99.32600000000001,ACEA SpA,0.25,07/28/2030,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,,0.07703093439340591
127,UV771361 Corp,ACFP,106.78,107.116,106.948,Accor SA,3.625,09/17/2023,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,,0.25825686007738113
128,AM205323 Corp,ACFP,104.26100000000001,105.23200000000001,104.7465,Accor SA,2.5,01/25/2024,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,,0.23293007910251617
129,AW898691 Corp,ACFP,106.225,106.647,106.436,Accor SA,3.0,02/04/2026,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,,0.1345905140042305
130,BM824426 Corp,ACFP,51.95,52.45,52.2,Accor SA,0.7,12/07/2027,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,,0.1947401538491249
133,EK846236 Corp,ACHMEA,101.07799999999999,101.175,101.1265,Achmea Bank NV,1.125,04/25/2022,ACHMEA,6.23769,5.953530000000001,587.565,34.9809,18.1084,263.976,1.8822,85.4559,,777.0,108.681,,0.6046187877655029
134,EJ595440 Corp,ACHMEA,109.75,110.25,110.0,Achmea BV,6.0,04/04/2043,ACHMEA,11.2928,11.2413,63.9438,7.18808,,,,38.9335,,,,,0.024487942457199097
135,EK398481 Corp,ACKAF,100.31200000000001,100.45200000000001,100.382,Arcelik AS,3.875,09/16/2021,ACKAF,28.8863,29.6892,123.554,36.6822,3.07702,5273.64,,54.9059,,,,,0.9941484928131104
136,BP618047 Corp,ACKAF,100.976,101.523,101.2495,Arcelik AS,3.0,05/27/2026,ACKAF,28.8863,29.6892,123.554,36.6822,3.07702,5273.64,,54.9059,,,,,0.1358378827571869
137,AS087411 Corp,ACSSCE,100.286,101.359,100.8225,ACS Servicios Comunicaciones y Energia SA,1.875,04/20/2026,ACSSCE,30.4391,31.391,,,,,,,,,,,0.13925492763519287
