,Reference Security,Bid Price,Ask Price,Mid Price,Cpn,Maturity,Common Eqty / Tot Assets,Debt/EBITDA,EBITDA,Earnings Assets / Int Bear Liab,Debt / Common Equity,BCLASS Level 3,TCE Ratio,Interest Coverage Ratio,Risk-Based Cap Ratio,Lev Ratio to TCE,Tier-1 Ratio,Tot Debt / Tot Capital,PD_1y,reprice,Error %
10,AP137335 Corp,106.285,106.735,106.51,1.625,09/18/2025,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010872044075225285,106.51,0.0
11,AP137335 Corp,106.262,106.712,106.48700000000001,1.625,09/18/2025,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.01094435326057356,106.48700000000001,0.0
12,AX543265 Corp,106.24700000000001,106.81700000000001,106.53200000000001,1.625,03/11/2026,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010802897990618999,106.53200000000002,1.3339517436265163e-14
13,AX543265 Corp,106.52799999999999,106.75200000000001,106.64,1.625,03/11/2026,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.01046372580994482,106.64,0.0
14,AX543265 Corp,106.521,106.745,106.633,1.625,03/11/2026,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010485695498867685,106.633,0.0
15,AX543265 Corp,106.52,106.745,106.6325,1.625,03/11/2026,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.01048726483492507,106.6325,0.0
16,AX543265 Corp,106.208,106.77799999999999,106.493,1.625,03/11/2026,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010925488013554308,106.49300000000001,1.334440265106815e-14
17,AX543265 Corp,106.205,106.775,106.49,1.625,03/11/2026,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010934920462213392,106.49,0.0
18,AN646797 Corp,104.212,104.38,104.296,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0027306422860645775,104.296,0.0
19,AN646797 Corp,104.249,104.432,104.3405,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0025536961499586573,104.3405,0.0
20,AN646797 Corp,104.25299999999999,104.435,104.344,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0025397829755269587,104.34400000000002,2.7238470281380825e-14
21,AN646797 Corp,104.214,104.376,104.295,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0027346196705864525,104.29500000000002,1.3625633745819075e-14
22,AN646797 Corp,104.20700000000001,104.37200000000001,104.2895,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0027564961240928287,104.2895,0.0
23,AN646797 Corp,104.18799999999999,104.353,104.2705,0.875,05/24/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028320802495251946,104.27049999999998,1.3628835303563331e-14
24,ZQ512620 Corp,100.96799999999999,100.96799999999999,100.96799999999999,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028522025122732567,100.96799999999996,2.8149224933052066e-14
25,ZQ512620 Corp,101.274,101.456,101.365,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0015487071217491974,101.36499999999998,1.4019488694521781e-14
26,ZQ512620 Corp,101.21,101.427,101.3185,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0017010329331714161,101.3185,0.0
27,ZQ512620 Corp,100.959,100.959,100.959,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028818316674237786,100.95899999999999,1.4075867149240784e-14
28,ZQ512620 Corp,100.963,100.963,100.963,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0028686627205555277,100.96300000000001,1.4075309484862776e-14
29,ZQ512620 Corp,101.178,101.39399999999999,101.286,0.0,11/15/2025,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0018075522684162701,101.286,0.0
30,EK583835 Corp,109.28200000000001,109.477,109.3795,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006546316150485204,109.37950000000001,1.2992246915740157e-14
31,EK583835 Corp,109.271,109.493,109.382,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006539937466426438,109.382,0.0
32,EK583835 Corp,109.274,109.49700000000001,109.3855,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006531007641771087,109.3855,0.0
33,EK583835 Corp,109.23700000000001,109.515,109.376,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.0065552466412229565,109.376,0.0
34,EK583835 Corp,109.271,109.462,109.3665,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006579488503612832,109.3665,0.0
35,EK583835 Corp,109.257,109.445,109.351,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006619047164051587,109.351,0.0
36,EK583835 Corp,109.215,109.546,109.3805,1.625,11/10/2026,20.1733,1.09391,78844.0,,187.144,Technology,20.1733,23.0727,,,,65.1743,0.006543764653073076,109.3805,0.0
37,BM056765 Corp,102.021,102.17399999999999,102.0975,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.20337076715892036
38,BM056765 Corp,102.04299999999999,102.14299999999999,102.09299999999999,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.1989719853467637
39,BM056765 Corp,101.99600000000001,102.09700000000001,102.0465,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.15349518993799569
40,BM056765 Corp,102.06299999999999,102.165,102.11399999999999,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.21949631686161764
41,BM056765 Corp,102.038,102.156,102.097,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.2028820327728301
42,BM056765 Corp,101.962,102.06299999999999,102.0125,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.12021709986529587
43,BM056765 Corp,102.01899999999999,102.137,102.07799999999999,0.01,08/03/2026,6.3899,,212.0,93.9125,1023.85,Mortgage Assets,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0,101.88986353099992,0.18430657830293587
44,ZP324278 Corp,100.179,100.929,100.554,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.012474114595268206,100.55399999840452,1.5866908134784886e-09
45,ZP324278 Corp,100.18799999999999,100.93799999999999,100.56299999999999,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.012448957854768471,100.56299999840324,1.5878064960818715e-09
46,ZP324278 Corp,100.19,100.94,100.565,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.0124433678974942,100.56499999840302,1.5880010145977782e-09
47,ZP324278 Corp,100.17399999999999,100.92399999999999,100.54899999999999,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.012488091929038757,100.5489999984051,1.5861902510634978e-09
48,ZP324278 Corp,100.185,100.935,100.56,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.01245734308350495,100.55999999840371,1.5874016500635699e-09
49,ZP324278 Corp,100.15,100.9,100.525,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.012555196726569793,100.52499999840832,1.5833740685164886e-09
50,ZP324278 Corp,100.161,100.911,100.536,0.5,01/14/2027,6.3899,,212.0,93.9125,1023.85,Banking,5.961869999999999,,28.0,5.9,18.8,90.9322,0.012524437567205907,100.53599999840688,1.5846284701026853e-09
51,AZ495660 Corp,102.257,103.007,102.632,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.005406168492812887,102.63200000000003,2.7692834038510414e-14
52,AZ495660 Corp,102.369,102.741,102.555,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.0057181356309369226,102.55499999999999,1.3856813139488083e-14
53,AZ495660 Corp,102.37200000000001,102.745,102.5585,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.0057039490051391676,102.55850000000001,1.3856340249908105e-14
54,AZ495660 Corp,102.255,103.005,102.63,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.005414267863577362,102.63000000000001,1.3846686851020175e-14
55,AZ495660 Corp,102.396,102.53,102.463,0.625,07/15/2025,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.006091256778279687,102.46300000000001,1.3869254965404101e-14
56,LW076488 Corp,105.65899999999999,105.875,105.76700000000001,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.009354958292015072,105.76700000000002,1.3436000562748306e-14
57,LW076488 Corp,105.501,106.012,105.7565,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.009388154601160747,105.75649999999997,2.687466910346315e-14
58,LW076488 Corp,105.67,105.928,105.79899999999999,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.009253815352396782,105.79899999999999,0.0
59,LW076488 Corp,105.65100000000001,105.866,105.7585,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.009381831159975134,105.75849999999998,1.3437080438169986e-14
60,LW076488 Corp,105.655,105.912,105.7835,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.009302801431945104,105.78349999999999,1.3433904829394002e-14
61,LW076488 Corp,105.619,105.835,105.727,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.009481443659742033,105.72699999999999,1.3441083843485583e-14
62,LW076488 Corp,105.61399999999999,105.833,105.7235,1.375,05/20/2026,12.1218,12.3516,2382.92,,521.5269999999999,Transportation,-355.474,-0.05838530000000001,,,,77.3599,0.009492514128586347,105.7235,0.0
63,AN101789 Corp,60.0,70.0,65.0,6.0,09/03/2021,-147.173,,300.043,,,Other Industrial,-149.828,0.435939,,,,8622.62,0.6448460162964895,65.00000000000001,2.1862853408003084e-14
64,EK148564 Corp,112.51799999999999,113.449,112.9835,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.007241070472094045,112.9835,0.0
65,EK148564 Corp,113.05,113.3,113.175,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.006676298205451282,113.175,0.0
66,EK148564 Corp,113.089,113.383,113.236,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.006496654894880211,113.236,0.0
67,EK148564 Corp,112.96700000000001,113.469,113.218,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.006549651455257679,113.21799999999999,1.2551762719004048e-14
68,EK148564 Corp,112.515,113.454,112.9845,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.007238118071406289,112.9845,0.0
69,EK148564 Corp,112.523,113.441,112.98200000000001,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.007245499136186368,112.98200000000001,0.0
70,EK148564 Corp,113.06,113.353,113.2065,2.7,03/31/2026,30.0446,4.8576,14449.0,,144.89600000000002,Consumer Non-Cyclical,-147.819,2.38828,,,,55.7126,0.00658351603950347,113.20649999999996,3.765911334208372e-14
71,AV875566 Corp,100.215,100.255,100.235,0.25,12/03/2021,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0005623204054581166,100.235,0.0
72,AV875566 Corp,100.21600000000001,100.256,100.236,0.25,12/03/2021,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0005456984236526519,100.23600000000002,1.4177396060499225e-14
73,EI999618 Corp,102.64,102.71700000000001,102.6785,5.0,02/09/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.03715527695272813,102.67850000000001,1.3840146394037704e-14
74,EJ104396 Corp,102.791,102.891,102.841,4.125,03/28/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.020861351974598485,102.84099999999998,1.3818277452768842e-14
75,EJ104396 Corp,102.818,102.85700000000001,102.8375,4.125,03/28/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.02091736386286691,102.83749999999999,1.3818747747856573e-14
76,EJ104396 Corp,102.818,102.884,102.851,4.125,03/28/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.020701318008116976,102.85099999999998,1.3816933928889367e-14
77,EJ104396 Corp,102.806,102.975,102.8905,4.125,03/28/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.020069183840515148,102.89049999999997,2.762325912538476e-14
78,LW092647 Corp,100.854,100.935,100.8945,0.625,05/31/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0,100.64390036158926,0.2483778981121205
79,LW092647 Corp,100.84899999999999,100.897,100.87299999999999,0.625,05/31/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0,100.64390036158926,0.22711690780558746
80,LW092647 Corp,100.887,100.935,100.911,0.625,05/31/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0,100.64390036158926,0.2646883277449843
81,LW092647 Corp,100.88799999999999,100.92,100.904,0.625,05/31/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0,100.64390036158926,0.2577694030075479
82,EJ270107 Corp,106.425,106.53,106.4775,7.125,07/06/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.010385000061830796,106.47749999999999,1.3346345204575617e-14
83,EJ270107 Corp,106.42299999999999,106.529,106.476,7.125,07/06/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.010408332902101414,106.47600000000001,1.3346533223639134e-14
84,EJ270107 Corp,106.383,106.51799999999999,106.4505,7.125,07/06/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.010804991186700641,106.45050000000002,1.3349730358431386e-14
85,EJ270107 Corp,106.366,106.509,106.4375,7.125,07/06/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.011007209135712182,106.4375,0.0
86,EJ270107 Corp,106.42200000000001,106.527,106.4745,7.125,07/06/2022,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.010431665742371865,106.47450000000002,1.334672124800023e-14
87,EK850977 Corp,104.695,104.961,104.82799999999999,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002605359465960615,104.82799999999999,0.0
88,EK850977 Corp,104.766,104.87100000000001,104.8185,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002642944791840137,104.81850000000004,4.06727477931911e-14
89,EK850977 Corp,104.74700000000001,104.91799999999999,104.8325,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002587557350125429,104.8325,0.0
90,EK850977 Corp,104.76299999999999,104.912,104.8375,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002567778321707547,104.83750000000003,2.7110251036512704e-14
91,EK850977 Corp,104.73700000000001,104.90899999999999,104.823,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0026251406950995254,104.82299999999996,2.711400115471224e-14
92,EK850977 Corp,104.709,104.861,104.785,1.0,04/16/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002775515907800874,104.785,0.0
93,AS180185 Corp,104.125,104.616,104.3705,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0024344589887427786,104.37049999999999,1.3615777173820191e-14
94,AS180185 Corp,104.314,104.46600000000001,104.39,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002356977431482119,104.39,0.0
95,AS180185 Corp,104.285,104.45299999999999,104.369,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0024404198457883258,104.36899999999999,1.3615972860908893e-14
96,AS180185 Corp,104.301,104.492,104.3965,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.00233115420017297,104.3965,0.0
97,AS180185 Corp,104.29299999999999,104.476,104.3845,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0023788294021160326,104.38450000000003,2.7227902064390794e-14
98,AS180185 Corp,104.255,104.41,104.3325,0.875,04/22/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0025854998469904094,104.33249999999998,1.362073631438143e-14
99,BJ633155 Corp,105.06200000000001,105.208,105.135,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0053348352397811355,105.13499999999999,1.3516768645267516e-14
100,BJ633155 Corp,104.992,105.227,105.1095,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.005435547897830704,105.1095,0.0
101,BJ633155 Corp,105.054,105.243,105.1485,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.005281528921576521,105.14849999999998,1.3515033229387013e-14
102,BJ633155 Corp,105.046,105.20299999999999,105.1245,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.005376301523047396,105.1245,0.0
103,BJ633155 Corp,105.046,105.23100000000001,105.1385,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.005321014275874275,105.13850000000001,1.3516318679838502e-14
104,BJ633155 Corp,105.02600000000001,105.211,105.1185,1.25,05/28/2025,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.005399998826572811,105.1185,0.0
105,ZS090332 Corp,103.329,103.49700000000001,103.413,0.5,04/15/2026,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.003037672187183341,103.41299999999998,1.3741845527353432e-14
106,ZS090332 Corp,103.337,103.38600000000001,103.3615,0.5,04/15/2026,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0032032778461316474,103.3615,0.0
107,ZS090332 Corp,103.28200000000001,103.57,103.426,0.5,04/15/2026,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.002995886014444656,103.42599999999997,2.7480236526989353e-14
108,ZS090332 Corp,103.325,103.515,103.42,0.5,04/15/2026,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.003015171079392833,103.42,0.0
109,ZS090332 Corp,103.309,103.369,103.339,0.5,04/15/2026,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0032756640102901274,103.339,0.0
110,ZS090332 Corp,103.32600000000001,103.51799999999999,103.42200000000001,0.5,04/15/2026,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.003008742560437305,103.42200000000001,0.0
111,ZS090332 Corp,103.287,103.48100000000001,103.384,0.5,04/15/2026,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.0031309124711878166,103.384,0.0
112,ZP353553 Corp,102.663,102.837,102.75,0.6,01/15/2027,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.008034529898949896,102.75,0.0
113,ZP353553 Corp,102.65700000000001,102.82,102.7385,0.6,01/15/2027,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.008065797734179724,102.73849999999999,1.383206365208953e-14
114,ZP353553 Corp,102.595,102.84100000000001,102.718,0.6,01/15/2027,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.008121548091978887,102.71800000179402,1.7465497106750973e-09
115,ZP353553 Corp,102.65299999999999,102.87200000000001,102.7625,0.6,01/15/2027,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.00800054862872566,102.76249999999997,2.7657666396208737e-14
116,ZP353553 Corp,102.57799999999999,102.82,102.699,0.6,01/15/2027,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.008173232954888587,102.69899999999998,1.383738372837321e-14
117,ZP353553 Corp,102.508,102.76100000000001,102.6345,0.6,01/15/2027,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.008348788504843739,102.63450000179765,1.7515013954991968e-09
118,ZP353553 Corp,102.542,102.787,102.6645,0.6,01/15/2027,4.803059999999999,,,127.325,650.789,Banking,4.77225,,23.7,5.0,19.5,85.49,0.008267115711008353,102.66450000179353,1.7469753925614155e-09
119,AU539766 Corp,108.005,108.262,108.1335,1.5,09/27/2026,45.1894,1.6957799999999998,9013.0,,60.6698,Consumer Non-Cyclical,-16.8842,9.81136,,,,37.6042,0.007846362614941744,108.13350000000001,1.3141953895140732e-14
120,AU539766 Corp,108.073,108.34899999999999,108.211,1.5,09/27/2026,45.1894,1.6957799999999998,9013.0,,60.6698,Consumer Non-Cyclical,-16.8842,9.81136,,,,37.6042,0.0076461258127612786,108.211,0.0
121,AU539766 Corp,108.081,108.35700000000001,108.219,1.5,09/27/2026,45.1894,1.6957799999999998,9013.0,,60.6698,Consumer Non-Cyclical,-16.8842,9.81136,,,,37.6042,0.007625467361550985,108.219,0.0
122,AU539766 Corp,108.064,108.34,108.20200000000001,1.5,09/27/2026,45.1894,1.6957799999999998,9013.0,,60.6698,Consumer Non-Cyclical,-16.8842,9.81136,,,,37.6042,0.007669369063812445,108.20199999999998,2.6267268100778177e-14
123,AU539766 Corp,107.978,108.337,108.1575,1.5,09/27/2026,45.1894,1.6957799999999998,9013.0,,60.6698,Consumer Non-Cyclical,-16.8842,9.81136,,,,37.6042,0.007784332848380756,108.1575,0.0
124,AU539766 Corp,107.943,108.302,108.1225,1.5,09/27/2026,45.1894,1.6957799999999998,9013.0,,60.6698,Consumer Non-Cyclical,-16.8842,9.81136,,,,37.6042,0.007874799211595729,108.12250000000002,1.3143290910959331e-14
125,AU539766 Corp,107.939,108.29700000000001,108.118,1.5,09/27/2026,45.1894,1.6957799999999998,9013.0,,60.6698,Consumer Non-Cyclical,-16.8842,9.81136,,,,37.6042,0.007886433504191959,108.118,0.0
