,Reference Security,Ticker_x,Bid Price,Ask Price,Mid Price,Issuer Name,Cpn,Maturity,Ticker_y,Average Equity / Average Assets,Common Eqty / Tot Assets,Debt / Common Equity,Debt/Assets,Debt/EBITDA,EBITDA,Int Exp / Avg Int Bear Liab,Tot Debt / Tot Capital,Tot Loans to Tot Assets,Tot Risk-Based Cap,Earnings Assets / Int Bear Liab,Total Expenses to Average Earning Assets
12,AN646815 Corp,AAPL,110.671,110.983,110.827,Apple Inc,1.375,05/24/2029,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,
13,ZQ512622 Corp,AAPL,103.381,102.38,102.8805,Apple Inc,0.5,11/15/2031,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,
14,EK600499 Corp,AARB,102.807,103.502,103.1545,Aareal Bank AG,6.641,,AARB,6.65589,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348
15,ZP324278 Corp,AARB,100.037,100.787,100.412,Aareal Bank AG,0.5,01/14/2027,AARB,6.65589,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348
16,ZO729151 Corp,AARB,102.452,102.74,102.596,Aareal Bank AG,0.5,04/07/2027,AARB,6.65589,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348
17,BP091713 Corp,AARB,98.978,99.825,99.4015,Aareal Bank AG,0.14,04/21/2027,AARB,6.65589,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348
18,BM636291 Corp,AARB,100.351,100.603,100.477,Aareal Bank AG,0.25,11/23/2027,AARB,6.65589,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348
19,BN390689 Corp,ABANCA,106.564,107.208,106.886,Abanca Corp Bancaria SA,6.0,,ABANCA,6.80553,6.32128,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,
20,AU653573 Corp,ABANCA,108.663,109.209,108.936,Abanca Corp Bancaria SA,7.5,,ABANCA,6.80553,6.32128,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,
21,AW600495 Corp,ABANCA,109.0,110.0,109.5,Abanca Corp Bancaria SA,6.125,01/18/2029,ABANCA,6.80553,6.32128,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,
22,ZR827301 Corp,ABANCA,107.711,108.089,107.9,Abanca Corp Bancaria SA,4.625,04/07/2030,ABANCA,6.80553,6.32128,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,
23,JK907074 Corp,ABBNVX,101.54,101.648,101.594,ABB Finance BV,0.625,05/03/2023,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,
24,AN529935 Corp,ABBNVX,102.624,102.838,102.731,ABB Finance BV,0.75,05/16/2024,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,
25,BN453785 Corp,ABBNVX,98.462,98.796,98.629,ABB Finance BV,0.0,01/19/2030,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,
26,AL241080 Corp,ABBV,103.992,104.176,104.084,AbbVie Inc,1.375,05/17/2024,ABBV,2.04606,8.68462,665.823,57.8242,4.31643,18026.0,,86.9239,,,,
27,ZR655395 Corp,ABBV,103.825,104.185,104.005,AbbVie Inc,0.75,11/18/2027,ABBV,2.04606,8.68462,665.823,57.8242,4.31643,18026.0,,86.9239,,,,
28,BN512964 Corp,ABESM,99.7,100.325,100.0125,Abertis Infraestructuras Finance BV,2.625,,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
29,BM601704 Corp,ABESM,100.536,100.936,100.736,Abertis Infraestructuras Finance BV,3.248,,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
30,EJ708501 Corp,ABESM,107.465,107.574,107.5195,Abertis Infraestructuras SA,3.75,06/20/2023,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
31,EK127126 Corp,ABESM,109.2,111.0,110.1,Abertis Infraestructuras SA,3.125,03/19/2024,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
32,AZ495660 Corp,ABESM,102.214,102.964,102.589,Abertis Infraestructuras SA,0.625,07/15/2025,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
33,LW076488 Corp,ABESM,105.65,105.929,105.7895,Abertis Infraestructuras SA,1.375,05/20/2026,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
34,AX729354 Corp,ABESM,110.727,111.388,111.0575,Abertis Infraestructuras SA,2.375,09/27/2027,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
35,ZP794341 Corp,ABESM,96.269,97.77,97.0195,Abertis Infraestructuras SA,1.25,02/07/2028,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
36,ZR655698 Corp,ABESM,103.529,103.888,103.7085,Abertis Infraestructuras SA,1.125,03/26/2028,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
37,BK164389 Corp,ABESM,111.099,111.708,111.40350000000001,Abertis Infraestructuras SA,2.25,03/29/2029,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
38,AZ495661 Corp,ABESM,106.538,107.238,106.888,Abertis Infraestructuras SA,1.625,07/15/2029,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
39,AX729355 Corp,ABESM,118.721,119.608,119.1645,Abertis Infraestructuras SA,3.0,03/27/2031,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
40,ZR655699 Corp,ABESM,108.365,109.065,108.715,Abertis Infraestructuras SA,1.875,03/26/2032,ABESM,12.904,12.1218,521.527,63.2184,12.3516,2382.92,,77.3599,,,,
41,ZS424035 Corp,ABGSM,0.01,0.75,0.38,Abengoa Abenewco 2 Bis SA,1.5,04/26/2024,ABGSM,-129.678,-147.173,,142.39,,300.043,,8622.62,,,,
42,BJ871562 Corp,ABHFIN,102.37,102.75,102.56,ABH Financial Ltd Via Alfa Holding Issuance PLC,2.7,06/11/2023,ABHFIN,,,,,,,,,,,,
43,AQ688743 Corp,ABIBB,100.589,100.866,100.72749999999999,Anheuser-Busch InBev SA/NV,0.0,04/15/2024,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
44,EJ370004 Corp,ABIBB,109.728,109.853,109.7905,Anheuser-Busch InBev SA/NV,2.875,09/25/2024,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
45,EK148564 Corp,ABIBB,113.14,113.474,113.307,Anheuser-Busch InBev SA/NV,2.7,03/31/2026,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
46,AQ688742 Corp,ABIBB,106.457,106.736,106.59649999999999,Anheuser-Busch InBev SA/NV,1.15,01/22/2027,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
47,AX890181 Corp,ABIBB,106.621,106.916,106.76849999999999,Anheuser-Busch InBev SA/NV,1.125,07/01/2027,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
48,BH449703 Corp,ABIBB,112.914,113.253,113.0835,Anheuser-Busch InBev SA/NV,2.125,12/02/2027,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
49,JK482752 Corp,ABIBB,112.711,113.009,112.86,Anheuser-Busch InBev SA/NV,2.0,03/17/2028,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
50,EK855926 Corp,ABIBB,109.901,110.466,110.1835,Anheuser-Busch InBev SA/NV,1.5,04/18/2030,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
51,AX890210 Corp,ABIBB,111.288,111.768,111.52799999999999,Anheuser-Busch InBev SA/NV,1.65,03/28/2031,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
52,BH449704 Corp,ABIBB,123.761,124.31,124.0355,Anheuser-Busch InBev SA/NV,2.875,04/02/2032,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
53,EJ523596 Corp,ABIBB,129.53,130.697,130.1135,Anheuser-Busch InBev SA/NV,3.25,01/24/2033,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
54,JK482849 Corp,ABIBB,124.203,124.942,124.57249999999999,Anheuser-Busch InBev SA/NV,2.75,03/17/2036,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
55,BH449705 Corp,ABIBB,140.127,140.943,140.53500000000003,Anheuser-Busch InBev SA/NV,3.7,04/02/2040,ABIBB,31.0428,30.0446,144.896,43.5334,6.82151,14449.0,,55.7126,,,,
56,AP324164 Corp,ABNANV,109.875,110.375,110.125,ABN AMRO Bank NV,4.75,,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
57,BJ925249 Corp,ABNANV,107.75,108.375,108.0625,ABN AMRO Bank NV,4.375,,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
58,AV875566 Corp,ABNANV,100.245,100.277,100.261,ABN AMRO Bank NV,0.25,12/03/2021,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
59,AV875550 Corp,ABNANV,100.176,100.204,100.19,ABN AMRO Bank NV,0.0,12/03/2021,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
60,EI999618 Corp,ABNANV,102.854,102.936,102.89500000000001,ABN AMRO Bank NV,5.0,02/09/2022,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
61,LW092647 Corp,ABNANV,100.886,100.936,100.911,ABN AMRO Bank NV,0.625,05/31/2022,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
62,EJ270107 Corp,ABNANV,106.692,106.806,106.749,ABN AMRO Bank NV,7.125,07/06/2022,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
63,AT519156 Corp,ABNANV,101.761,101.859,101.81,ABN AMRO Bank NV,0.5,07/17/2023,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
64,EJ689959 Corp,ABNANV,106.697,106.819,106.75800000000001,ABN AMRO Bank NV,2.5,11/29/2023,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
65,AW568319 Corp,ABNANV,102.986,103.188,103.087,ABN AMRO Bank NV,0.875,01/15/2024,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
66,EK850977 Corp,ABNANV,104.811,104.989,104.9,ABN AMRO Bank NV,1.0,04/16/2025,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
67,AS180185 Corp,ABNANV,104.368,104.541,104.4545,ABN AMRO Bank NV,0.875,04/22/2025,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
68,BJ633155 Corp,ABNANV,105.079,105.296,105.1875,ABN AMRO Bank NV,1.25,05/28/2025,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
69,ZS090332 Corp,ABNANV,103.354,103.547,103.4505,ABN AMRO Bank NV,0.5,04/15/2026,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
70,ZP353553 Corp,ABNANV,102.542,102.803,102.6725,ABN AMRO Bank NV,0.6,01/15/2027,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
71,JV591523 Corp,ABNANV,104.603,104.603,104.603,ABN AMRO Bank NV,2.875,01/18/2028,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
72,JK712590 Corp,ABNANV,110.43,110.68,110.555,ABN AMRO Bank NV,1.0,04/13/2031,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
73,BP790964 Corp,ABNANV,102.999,103.37,103.1845,ABN AMRO Bank NV,1.0,06/02/2033,ABNANV,4.99379,4.80306,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,
74,AU539765 Corp,ABT,102.618,102.724,102.67099999999999,Abbott Ireland Financing DAC,0.875,09/27/2023,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,
75,AU539766 Corp,ABT,108.125,108.404,108.2645,Abbott Ireland Financing DAC,1.5,09/27/2026,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,
76,ZQ616019 Corp,ABT,102.513,102.839,102.676,Abbott Ireland Financing DAC,0.375,11/19/2027,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,
77,BQ314932 Corp,ACACB,101.656,101.792,101.724,Credit Agricole Home Loan SFH SA,0.01,04/12/2028,ACACB,1.7699,1.65771,5926.81,98.2495,,,,98.3407,,,,
78,ZO837467 Corp,ACAFP,109.625,110.125,109.875,Credit Agricole SA,4.0,,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
79,EK686365 Corp,ACAFP,111.252,112.016,111.634,Credit Agricole Assurances SA,4.25,,ACAFP,3.85342,3.8168,48.288,1.84305,,,,32.4357,,,,
80,EK508739 Corp,ACAFP,114.096,114.913,114.50450000000001,Credit Agricole Assurances SA,4.5,,ACAFP,3.85342,3.8168,48.288,1.84305,,,,32.4357,,,,
81,EC837703 Corp,ACAFP,100.0,105.0,102.5,Credit Lyonnais SACA,,,ACAFP,4.37705,4.31871,521.133,22.5062,,,1.57544,83.8969,73.9484,8942.0,154.992,
82,ED792819 Corp,ACAFP,47.569,48.913,48.241,Credit Agricole SA,0.0,,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
83,FF102328 Corp,ACAFP,90.5,93.5,92.0,Credit Lyonnais SACA,,,ACAFP,4.37705,4.31871,521.133,22.5062,,,1.57544,83.8969,73.9484,8942.0,154.992,
84,FF103070 Corp,ACAFP,90.5,93.5,92.0,Credit Lyonnais SACA,0.0,,ACAFP,4.37705,4.31871,521.133,22.5062,,,1.57544,83.8969,73.9484,8942.0,154.992,
85,AW599611 Corp,ACAFP,100.229,100.267,100.24799999999999,Credit Agricole SA/London,0.002,01/17/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
86,ZP822149 Corp,ACAFP,100.07,100.27,100.16999999999999,Unifergie - Union Pour le Financement des Economies D'Energie SA,0.0,02/07/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
87,AN217790 Corp,ACAFP,100.531,100.561,100.546,Credit Agricole SA/London,0.252,04/20/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
88,EI542114 Corp,ACAFP,105.614,107.356,106.485,Credit Agricole SA,4.25,02/04/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
89,AR482677 Corp,ACAFP,100.754,100.8,100.777,Credit Agricole SA/London,0.058,03/06/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
90,EJ751625 Corp,ACAFP,107.089,107.135,107.112,Credit Agricole SA/London,3.125,07/17/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
91,AV923058 Corp,ACAFP,102.445,102.791,102.618,Credit Agricole SA/London,0.75,12/05/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
92,EK021817 Corp,ACAFP,106.743,108.772,107.7575,Credit Agricole SA,3.03,02/21/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
93,AZ186551 Corp,ACAFP,101.933,102.169,102.051,Credit Agricole SA/London,0.5,06/24/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
94,EK623532 Corp,ACAFP,106.599,109.711,108.155,Credit Agricole SA,3.0,12/22/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
95,EK699272 Corp,ACAFP,106.796,109.822,108.309,Credit Agricole SA,3.0,02/02/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
96,AR621181 Corp,ACAFP,105.133,105.357,105.245,Credit Agricole SA/London,1.375,03/13/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
97,EK827377 Corp,ACAFP,108.038,109.288,108.663,Credit Agricole SA,2.7,04/14/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
98,EK946829 Corp,ACAFP,108.268,109.147,108.70750000000001,Credit Agricole SA,2.7,07/15/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
99,UV809282 Corp,ACAFP,106.947,110.205,108.576,Credit Agricole SA,2.8,10/16/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
100,ZQ099083 Corp,ACAFP,101.835,101.963,101.899,Credit Agricole SA,0.375,10/21/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
101,QJ780660 Corp,ACAFP,107.654,109.447,108.5505,Credit Agricole SA,3.0,12/21/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
102,JV523322 Corp,ACAFP,109.539,110.385,109.962,Credit Agricole SA,2.8,01/27/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
103,JK729950 Corp,ACAFP,106.706,106.985,106.8455,Credit Agricole SA/London,1.25,04/14/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
104,BH787467 Corp,ACAFP,103.697,103.849,103.773,Credit Agricole SA,1.0,04/22/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
105,LW286371 Corp,ACAFP,108.327,111.452,109.8895,Credit Agricole SA,2.8,07/21/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
106,AL688676 Corp,ACAFP,109.073,109.86,109.4665,Credit Agricole SA/London,1.875,12/20/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
107,EK795322 Corp,ACAFP,110.892,112.948,111.91999999999999,Credit Agricole SA,2.625,03/17/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
108,AN346558 Corp,ACAFP,108.133,108.498,108.3155,Credit Agricole SA/London,1.375,05/03/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
109,BM882289 Corp,ACAFP,99.442,99.672,99.55699999999999,Credit Agricole SA,0.125,12/09/2027,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
110,BP067515 Corp,ACAFP,100.208,100.439,100.3235,Credit Agricole SA,0.375,04/20/2028,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
111,AX394408 Corp,ACAFP,110.202,110.688,110.445,Credit Agricole SA/London,1.75,03/05/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
112,AX751474 Corp,ACAFP,109.154,110.103,109.6285,Credit Agricole SA,2.0,03/25/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
113,ZS751587 Corp,ACAFP,107.001,107.489,107.245,Credit Agricole SA/London,1.0,07/03/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
114,ZP155076 Corp,ACAFP,99.011,100.692,99.85149999999999,Credit Agricole SA,1.25,12/27/2029,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
115,BJ757737 Corp,ACAFP,104.253,104.554,104.40350000000001,Credit Agricole SA,1.625,06/05/2030,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
116,BK414817 Corp,ACAFP,106.885,107.17,107.0275,Credit Agricole Assurances SA,2.0,07/17/2030,ACAFP,3.85342,3.8168,48.288,1.84305,,,,32.4357,,,,
117,BK667036 Corp,ACAFP,106.825,108.886,107.8555,Credit Agricole SA,2.0,07/28/2030,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
118,ZP317119 Corp,ACAFP,103.102,103.741,103.42150000000001,Credit Agricole SA,0.875,01/14/2032,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,
119,AQ804746 Corp,ACAFP,107.787,108.703,108.245,Credit Agricole Assurances SA,2.625,01/29/2048,ACAFP,3.85342,3.8168,48.288,1.84305,,,,32.4357,,,,
120,QZ515948 Corp,ACAFP,122.638,123.458,123.048,Credit Agricole Assurances SA,4.75,09/27/2048,ACAFP,3.85342,3.8168,48.288,1.84305,,,,32.4357,,,,
121,AQ928035 Corp,ACEIM,100.285,100.439,100.362,ACEA SpA,0.0,02/08/2023,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,
122,BN672515 Corp,ACEIM,100.607,100.798,100.7025,ACEA SpA,0.0,09/28/2025,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,
123,ZP763376 Corp,ACEIM,100.929,101.556,101.2425,ACEA SpA,0.5,04/06/2029,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,
124,BN671851 Corp,ACEIM,99.076,99.576,99.326,ACEA SpA,0.25,07/28/2030,ACEIM,20.5046,20.3112,231.3,46.9799,4.928,1002.92,,66.1723,,,,
125,ZQ258633 Corp,ACFP,96.446,96.869,96.6575,Accor SA,2.625,,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,
126,AW798439 Corp,ACFP,103.145,104.322,103.73349999999999,Accor SA,4.375,,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,
127,UV771361 Corp,ACFP,106.78,107.116,106.94800000000001,Accor SA,3.625,09/17/2023,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,
128,AM205323 Corp,ACFP,104.261,105.232,104.7465,Accor SA,2.5,01/25/2024,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,
129,AW898691 Corp,ACFP,106.225,106.647,106.436,Accor SA,3.0,02/04/2026,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,
130,BM824426 Corp,ACFP,51.95,52.45,52.2,Accor SA,0.7,12/07/2027,ACFP,44.5779,38.8014,93.4018,36.2412,,-1349.0,,47.8947,,,,
131,EK723977 Corp,ACHMEA,110.245,111.301,110.773,Achmea BV,4.25,,ACHMEA,11.2928,11.2413,63.9438,7.18808,,,,38.9335,,,,
132,ZR701725 Corp,ACHMEA,106.0,108.0,107.0,Achmea BV,4.625,,ACHMEA,11.2928,11.2413,63.9438,7.18808,,,,38.9335,,,,
133,EK846236 Corp,ACHMEA,101.078,101.175,101.1265,Achmea Bank NV,1.125,04/25/2022,ACHMEA,6.23769,5.95353,587.565,34.9809,18.1084,263.976,1.8822,85.4559,,777.0,108.681,
134,EJ595440 Corp,ACHMEA,109.75,110.25,110.0,Achmea BV,6.0,04/04/2043,ACHMEA,11.2928,11.2413,63.9438,7.18808,,,,38.9335,,,,
135,EK398481 Corp,ACKAF,100.312,100.452,100.382,Arcelik AS,3.875,09/16/2021,ACKAF,28.8863,29.6892,123.554,36.6822,3.07702,5273.64,,54.9059,,,,
136,BP618047 Corp,ACKAF,100.976,101.523,101.2495,Arcelik AS,3.0,05/27/2026,ACKAF,28.8863,29.6892,123.554,36.6822,3.07702,5273.64,,54.9059,,,,
137,AS087411 Corp,ACSSCE,100.286,101.359,100.82249999999999,ACS Servicios Comunicaciones y Energia SA,1.875,04/20/2026,ACSSCE,30.4391,31.391,,,,,,,,,,
